title,source,source_domain,published_date,url,content,fetch_method,id,corroboration_count,merged_with,credibility_score,credibility_passed,relevance_score,relevance_reasoning,deal_type,acquirer,target,deal_value_structured,deal_status,sector,key_insight,why_it_matters,story_angle,headline_summary
D2C acquisitions by FMCG companies set to continue in 2026 - The Financial Express,The Financial Express,financialexpress.com,"Sun, 04 Ja",https://www.financialexpress.com/business/news/d2c-acquisitions-by-fmcg-companies-set-to-continue-in-2026/4097143/,D2C acquisitions by FMCG companies set to continue in 2026 &nbsp;&nbsp; The Financial Express,rss,rss_000,1,[],0.7,True,0.9,"The article discusses ongoing D2C acquisitions by FMCG companies, indicating a core M&A trend.",acquisition,,,Undisclosed,rumored,D2C,FMCG companies are increasingly focusing on D2C acquisitions to enhance their market presence.,"This trend reflects a strategic shift towards direct consumer engagement, which is crucial for adapting to changing consumer behaviors.",Market shift towards D2C strategies in the FMCG sector.,"FMCG companies are expected to continue their trend of acquiring direct-to-consumer (D2C) brands in 2026, as they seek to strengthen their market presence and adapt to evolving consumer preferences. While specific deals have not been disclosed, the ongoing interest in D2C acquisitions highlights a significant shift in the FMCG landscape."
"Ahead of IPO, FMCG Company Mitra Announces INR 787 Cr Merger with Tierra Agrotech - Entrepreneur India",Entrepreneur India,entrepreneurindia.com,"Fri, 16 Ja",https://www.entrepreneurindia.com/blog/en/news/ahead-of-ipo-fmcg-company-mitra-announces-inr-787-cr-merger-with-tierra-agrotech.58819,"Delhi NCR-based FMCG company Mitra has announced a merger with BSE-listed Tierra Agrotech in a transaction valued at INR 787 crore. The merger is expected to create an integrated food and agri-processing company and pave the way for a stock market listing by the end of the 2026 calendar year, subject to regulatory approvals.
The deal brings together Mitra's branded packaged food business and Tierra Agrotech's upstream agricultural capabilities. The combined entity will operate across the full food value chain, including seed development, crop sourcing, processing, manufacturing and sale of branded FMCG and agricultural products.
Mitra, operated by Nishpra Community Solutions Pvt. Ltd., has expanded rapidly across North India since its founding in 2023. Its product portfolio includes flour, pulses, rice, spices, edible oils, millets, oats and instant mixes. The company currently claims to serve more than 40,000 retail outlets through a network of over 500 distributors across 38 cities.
Tierra Agrotech, headquartered in Hyderabad, focuses on agri-infrastructure, crop science and supply chain management. Established in 2012 following the acquisition of Monsanto's cotton business and Xylem, a subsidiary of US-based Pioneer, Tierra has built capabilities in seed development and agricultural research. Its crop portfolio spans multiple cultivation zones, allowing it to serve farmers across different regions and seasons.
The merger is expected to improve efficiency by reducing reliance on third-party suppliers and enabling tighter quality control. The combined business will operate with two divisions agriculture and FMCG designed to work in coordination while addressing distinct market needs.
Mitra founder Abhishek Kaushik will become Promoter and Managing Director of the merged entity. Financial projections indicate consolidated revenues of around INR 400 crore by FY27, supported by scale benefits and operational integration. The shareholding structure will be realigned to balance the interests of existing shareholders of both companies.
Regulatory approvals from SEBI and the National Company Law Tribunal are currently in progress, with operational integration expected to be completed during FY27.
Ahead of IPO, FMCG Company Mitra Announces INR 787 Cr Merger with Tierra Agrotech
Ahead of IPO, FMCG Company Mitra Announces INR 787 Cr Merger with Tierra Agrotech
Mitra founder Abhishek Kaushik will become Promoter and Managing Director of the merged entit.
This article was originally
published by the Entrepreneur.com. To read the full version,
visit here
×
Subscription Successful!
Thank you for subscribing. Stay tuned for updates.",rss,rss_004,3,"['Mitra merges with Tierra Agrotech in ₹787 cr deal ahead of IPO - BusinessLine', 'Mitra to merge with Tierra Agrotech in Rs 787-crore deal, eyes IPO by 2026 - The Economic Times']",0.85,True,0.9,This is a core FMCG merger between two companies in the food and agriculture sector.,merger,Mitra,Tierra Agrotech,₹787 Cr,announced,Food & Agri-processing,Mitra and Tierra Agrotech's merger aims to create a comprehensive food value chain.,The merger enhances operational efficiency and quality control by integrating upstream agricultural capabilities with FMCG operations.,This merger sets the stage for Mitra's IPO and represents a significant consolidation in the FMCG and agri-processing sectors.,"Mitra, a Delhi NCR-based FMCG company, has announced a merger with BSE-listed Tierra Agrotech in a deal valued at ₹787 crore. The merger aims to create an integrated food and agri-processing company, enhancing operational efficiency and paving the way for a stock market listing by the end of 2026, subject to regulatory approvals."
Modi Naturals plans up to ₹100 crore FMCG acquisitions after NSE listing - Business Standard,Business Standard,business-standard.com,"Thu, 11 De",https://www.business-standard.com/companies/news/modi-naturals-fmcg-acquisition-plans-nse-listing-125121101209_1.html,Modi Naturals plans up to ₹100 crore FMCG acquisitions after NSE listing &nbsp;&nbsp; Business Standard,rss,rss_002,1,[],0.75,True,0.8,"The article discusses planned acquisitions in the FMCG sector, indicating a strategic move by Modi Naturals post-IPO.",acquisition,Modi Naturals,,₹100 Cr,announced,FMCG,Modi Naturals is set to pursue acquisitions worth up to ₹100 crore following its NSE listing.,This move signifies Modi Naturals' intent to expand its footprint in the FMCG sector after gaining access to public capital.,Strategic expansion post-IPO.,Modi Naturals has announced plans to pursue acquisitions in the FMCG sector worth up to ₹100 crore following its recent listing on the National Stock Exchange (NSE). This strategic move aims to leverage the capital raised from the IPO to enhance its market presence.
"This FMCG Stock Bets Big On Middle East Markets With New Acquisition At Just AED 50,000 - Goodreturns",Goodreturns,goodreturns.in,"Fri, 27 Fe",https://www.goodreturns.in/news/this-fmcg-stock-bets-big-on-middle-east-markets-with-new-acquisition-at-just-aed-50-000-1492563.html,"GRM Overseas has announced the acquisition of GRM Arabia FZCO, making it a 100% wholly owned subsidiary of the company. The action is a reflection of GRM Overseas' continuous efforts to broaden its worldwide reach and capitalize on the rising demand for packaged food products in foreign markets.
AED 50,000 was paid in cash to finalize the transaction, which was revealed on February 26. A newly established company, GRM Arabia FZCO is listed with the Dubai Multi Commodities Center Authority. The firm has no history of turnover or profit because it has not yet started operations. The promoter group had no prior stake in the company, and the acquisition is not categorized as a related-party transaction.
The subsidiary is anticipated to function as a strategic distribution and marketing center in the United Arab Emirates and will engage in the fast-moving consumer goods (FMCG) industry. By expanding the trading, importing, exporting, and distribution of rice, food grains, and associated food products in the United Arab Emirates and neighboring foreign markets, GRM Overseas hopes to fortify its worldwide footprint.
The company will hold 100% ownership and control in GRM Arabia FZCO. As the subsidiary is newly established, regulatory approvals and completion timelines are not applicable at this stage.
GRM Overseas Limited recently revealed the results of its February 6, 2026, board meeting, in which the firm authorized the conversion of warrants into equity shares and the allotment of bonus shares. In August 2024, the company first issued 90.7 lakh convertible warrants at an issue price of Rs 150 each on a preferential basis. At the time of allocation, warrant holders paid 25% of the issue price; the remaining 75% was due at the time of conversion. In May 2025, 13.52 lakh warrants had already been converted into equity shares.
Following the receipt of the remaining payment of around Rs 86.83 crore from 21 investors, GRM Overseas authorized the conversion of the remaining 77.18 lakh warrants during the most recent board meeting. As a result, the company allotted 77.18 lakh equity shares with a face value of Rs 2 each. In addition to the warrant conversion, the company also allotted 1.54 crore bonus shares in a 2:1 ratio, meaning shareholders received two new equity shares for every one share held.
This bonus issue had earlier been approved by shareholders in December 2025. Following the allotment, GRM Overseas' paid-up share capital increased from Rs 36.81 crore to Rs 41.44 crore, taking the total number of equity shares to over 20.72 crore.
The GRM Overseas Ltd (GRMOVER) share price is currently Rs 162.44 on the NSE as of 11:28 AM IST on 27 February 2026.
This represents a moderate gain of 0.89% from the previous day's close of Rs 161.00. The stock opened at Rs 161.00 and has experienced steady upward momentum throughout the morning session, reaching an intraday high of Rs 162.50. Earlier in the session, the price dipped to a low of Rs 159.60, but it quickly recovered. Trading activity remains active with a volume of over 4.63 lakh shares recorded on the NSE by mid-morning.",rss,rss_003,1,[],0.6,True,0.9,This is a core FMCG acquisition involving a strategic expansion into the Middle East market.,acquisition,GRM Overseas,GRM Arabia FZCO,"AED 50,000",announced,Food & Beverages,GRM Overseas expands its footprint in the Middle East with the acquisition of GRM Arabia FZCO.,The acquisition allows GRM Overseas to tap into the growing demand for packaged food products in the UAE and surrounding markets.,Strategic market entry into the Middle East FMCG sector.,"GRM Overseas has announced the acquisition of GRM Arabia FZCO for AED 50,000, making it a wholly owned subsidiary. This move reflects the company's strategy to expand its global reach and meet the rising demand for packaged food in foreign markets. The newly established subsidiary will focus on the distribution and marketing of food products in the UAE."
Two-third of acquisitions by FMCG firms in last 5 fiscals in D2C space: Crisil Ratings - The Economic Times,The Economic Times,m.economictimes.com,"Thu, 25 Se",https://m.economictimes.com/industry/cons-products/fmcg/two-third-of-acquisitions-by-fmcg-firms-in-last-5-fiscals-in-d2c-space-crisil-ratings/articleshow/124114093.cms,"Hindustan Unilever Ltd's (HUL) acquisition of Uprising Science Pvt Ltd (Minimalist) for Rs 2,706 crore; Marico's buying of Satiya Nutraceuticals Pvt Ltd (Plix) for Rs 380 crore; Emami Ltd's Rs 272-crore takeover of Helios Lifestyle Ltd (The Man Company) and ITC Ltd's acquisition of Sproutlife Foods Pvt Ltd (Yoga Bar) for Rs 225 crore are some of the notable instances of established players acquiring D2C brands, Crisil Ratings said in a statement.
Stating that FMCG companies are on a D2C buyout spree for growth, premiumisation, Crisil Ratings said these acquisitions provide FMCG companies with access to personalised consumer insights, a unique feature of the digital channels that can drive accelerated feedback, rapid innovation cycles and targeted marketing.
Thus far, the modest size of these acquisitions has not impacted the credit profile of acquirers, it said, citing a study of 82 FMCG companies in its rated portfolio and 58 D2C companies.
""In the past five fiscals, around two-third of the acquisitions of FMCG players have been in the D2C space. D2C companies gained prominence post-pandemic owing to their differentiated products and unique marketing campaigns, enabled by internet and smartphone penetration,"" the credit rating firm said.
""Acquisitions of D2C brands by FMCG players have led to a win-win for both sides. FMCG firms have been able to enter new and premium categories as well as gain access to consumer insights, accelerating feedback loops,"" Crisil Ratings Senior Director Anuj Sethi said.
On the other hand, he said, ""D2C companies have been able to mitigate challenges of scalability and profitability. Prior to acquisition, less than 15 per cent of the D2C companies in our sample set had managed to cross Rs 250 crore in revenue and only a third reported operating profits.""
The acquisitions have further strengthened the business profiles of traditional FMCG players by providing them entry into niche product categories, aiding diversification and premiumisation of the overall product basket, while also enabling them to enter segments with rapid innovation cycles and access to select customer cohorts with unique preferences.
""About 60 per cent of the acquisitions by FMCG players have been in personal care and the rest in the food and beverage segment, supporting their premiumisation journey. About 85 per cent of the acquisitions were undertaken to enter niche and premium segments, with about 35 per cent in the health and wellness segment, 20 per cent in the specialised ingredients segment,"" Crisil Ratings Director Aditya Jhaver said.
Crisil Ratings noted that the acquisitions have not dented the financial profiles of acquirers, as D2C players are in early stages of scaling up, and hence acquisition costs have not been material relative to the size of the FMCG players.
""The average consideration for acquisitions has been less than 5 per cent of net worth of the acquirers, indicating negligible strain on balance sheets of FMCG companies and, thereby, keeping their credit profiles stable,"" it added.
Yet, it noted that the ramp-up of the acquired D2C brands post-acquisition to a much larger scale, while improving profitability over the medium term, will bear watching.
(Catch all the Business News, Breaking News and Latest News Updates on The Economic Times.)
Subscribe to The Economic Times Prime and read the ET ePaper online.
(Catch all the Business News, Breaking News and Latest News Updates on The Economic Times.)
Subscribe to The Economic Times Prime and read the ET ePaper online.",rss,rss_005,1,[],0.8,True,0.9,"The article discusses multiple acquisitions by FMCG firms in the D2C space, which are core FMCG M&A deals.",acquisition,Hindustan Unilever Ltd,Uprising Science Pvt Ltd (Minimalist),"₹2,706 Cr",completed,Personal Care,FMCG firms are increasingly acquiring D2C brands to enhance growth and access consumer insights.,These acquisitions allow FMCG companies to enter premium categories and leverage unique marketing strategies of D2C brands.,Significant acquisitions in the D2C space by major FMCG players.,"Hindustan Unilever Ltd has acquired Uprising Science Pvt Ltd (Minimalist) for ₹2,706 crore, part of a trend where FMCG firms are increasingly buying D2C brands. This acquisition is aimed at enhancing growth and accessing personalized consumer insights, reflecting a broader strategy in the FMCG sector."
"Reliance Consumer revives legacy brand SIL, Expands push in Indian FMCG foods market - The Financial Express",The Financial Express,financialexpress.com,"Tue, 16 De",https://www.financialexpress.com/business/news-reliance-consumer-revives-legacy-brand-sil-expands-push-in-indian-fmcg-foods-market-4079053/,"Reliance Consumer revives legacy brand SIL, Expands push in Indian FMCG foods market &nbsp;&nbsp; The Financial Express",rss,rss_006,1,[],0.7,True,0.7,"The article discusses the revival of a legacy brand by a major FMCG player, indicating a strategic move in the FMCG sector, but does not detail a specific M&A transaction.",other,Reliance Consumer,SIL,Undisclosed,announced,FMCG Foods,Reliance Consumer is revitalizing the SIL brand to strengthen its position in the Indian FMCG foods market.,"This move reflects Reliance's strategy to expand its footprint in the competitive Indian FMCG sector, leveraging a legacy brand.",Standard sector transaction.,"Reliance Consumer has announced the revival of the legacy brand SIL as part of its strategy to expand in the Indian FMCG foods market. The financial details of the deal remain undisclosed, but this initiative aims to enhance Reliance's presence in a highly competitive sector."
Tata Consumer Products: Stock Surges on Merger Green Light as Market Bets on a Scaled?Up FMCG Powerh - AD HOC NEWS,AD HOC NEWS,ad-hoc-news.de,"Thu, 29 Ja",https://www.ad-hoc-news.de/boerse/news/ueberblick/tata-consumer-products-stock-surges-on-merger-green-light-as-market-bets/68532277,"Tata Consumer Products: Stock Surges on Merger Green Light as Market Bets on a Scaled?Up FMCG Powerhouse
29.01.2026 - 21:43:12 | ad-hoc-news.deTata Consumer Products is trading like a company that has just been handed a bigger stage. After a spell of sideways action, the stock has broken higher in recent days, with investors responding enthusiastically to the final regulatory nod for its long?planned merger with Tata Coffee and associated entities. The move has injected fresh momentum into a name that already sat at the crossroads of India’s food and beverage boom and the structural shift toward branded consumption.
The immediate message from the tape is unambiguous: the market likes the new, bulked?up Tata Consumer. Over the past five trading sessions the stock has climbed steadily, logging gains on most days and decisively outperforming the broader indices. A modest pullback mid?week did little to dent sentiment, and dip buyers quickly stepped in as the share price gravitated back toward the upper end of its recent trading range.
On a 90?day view the picture looks even more striking. The stock has been in a firm uptrend, transitioning from consolidation into a clear pattern of higher highs and higher lows. After shaking off a soft patch in the autumn, Tata Consumer has added a substantial double?digit percentage in market value, helped by renewed risk appetite for Indian consumer names and anticipation around its portfolio restructuring. With the price now hovering close to its 52?week high and sitting well above the 52?week low, the market is effectively signaling a strong vote of confidence in the company’s strategic direction.
Real?time quotes from both NSE and BSE feeds, as aggregated by Yahoo Finance and Google Finance, show the stock last traded just shy of its recent peak, with a noticeable expansion in volume relative to the three?month average. The latest reading reflects active two?way interest but a clear tilt toward buyers. For investors trying to time their entry, the question is no longer whether the market has noticed Tata Consumer, but whether the current price still leaves enough on the table.
One-Year Investment Performance
To understand how far Tata Consumer has come, it helps to rewind one year. According to price histories from NSE data as presented on Yahoo Finance and corroborated via Google Finance, the stock closed roughly one?third lower at that point. Comparing that earlier close with the latest trading price implies a powerful appreciation of about 35 to 40 percent over twelve months, even after accounting for minor day?to?day fluctuations.
Put differently, an investor who had quietly accumulated 100 shares a year ago would now be sitting on a gain of around one?third on capital, before dividends. Scale that to a hypothetical investment of 100,000 rupees and the unrealized profit would be in the ballpark of 35,000 to 40,000 rupees. In a market where many consumer names have churned sideways, Tata Consumer has rewarded patience with a robust combination of price appreciation and relatively contained volatility.
The path to that return has not been a straight line. The stock endured periods of digestion, especially around broader market risk?off phases and bouts of concern about rural demand. Yet each corrective move found support above the prior major low, turning what could have been a punishing roller coaster into a staircase pattern higher. From a technical standpoint, that behavior underlines the presence of sticky institutional ownership that was willing to add on weakness rather than head for the exits.
Recent Catalysts and News
The main spark behind the latest leg of the rally has been regulatory clarity. Earlier this week, market reports from Reuters and domestic business media highlighted that Tata Consumer finally received the remaining approvals tied to its merger with Tata Coffee and related entities. This transaction, in the works for an extended period, folds the coffee and certain plantation businesses into Tata Consumer and simplifies the group’s FMCG structure. Investors see it as a crucial step toward unlocking synergies in sourcing, manufacturing and branding.
Shortly after those headlines hit, trading screens lit up with heavier than usual volumes. Analysts framed the development as removing an overhang that had kept some investors on the sidelines. With execution risk now more focused on integration rather than regulation, the market has started to price in stronger earnings visibility for the combined entity. Commentary in local financial press also pointed out that the merger could strengthen Tata Consumer’s play in premium beverages and ready?to?drink categories, where global competitors have been increasingly aggressive.
Earlier in the week, attention also turned to the company’s performance update and commentary around its India packaged beverages and foods businesses. While detailed quarterly results commentary varied across outlets, the common thread was resilience in core segments such as tea, salt and packaged foods, paired with continued investments in newer growth vectors like ready?to?cook products and value?added beverages. Several reports noted that Tata Consumer’s management remains focused on premiumization, product innovation and deepening distribution in underpenetrated rural markets, even as urban demand stays healthy.
Taken together, these catalysts have revived the bull story. Rather than a sleepy consumer staple, Tata Consumer is increasingly being discussed in market circles as a dynamic FMCG platform with optionality in coffee, health drinks and cross?category branding under the broader Tata umbrella. That narrative has fed into the positive price action of the past week and helped push the stock’s short?term momentum indicators into firmly bullish territory.
Wall Street Verdict & Price Targets
Brokerage desks have been quick to adjust their spreadsheets. Recent research notes reported by outlets such as Reuters, Bloomberg and domestic broker channels show a clear skew toward positive recommendations. A clutch of large firms, including foreign houses comparable to Goldman Sachs and J.P. Morgan as well as prominent Indian brokerages, have either reiterated or upgraded Tata Consumer to Buy or Overweight ratings within the last several weeks.
Across these notes, consensus price targets now cluster meaningfully above the current market price, suggesting analysts still see upside even after the recent run. Some of the more optimistic targets imply potential gains in the mid?teens percentage range over the coming twelve months, anchored on expectations of revenue synergies from the Tata Coffee merger, steady margin expansion from premium product mixes, and operating leverage as volumes scale. A smaller minority of analysts prefer a more cautious Hold stance, arguing that valuations sit at a premium to both domestic FMCG peers and Tata Consumer’s own historical averages.
In practical terms, this split translates to a nuanced verdict. The Street broadly believes the strategic direction is sound and earnings growth will outpace the broader consumer staples universe, but there is less agreement on how much of that optimism is already embedded in the price. For momentum investors and those with a multi?year horizon, the Buy calls and elevated targets are an encouraging signal. For value?oriented portfolios, the message is more measured: the story is compelling, but the margin of safety has narrowed.
Future Prospects and Strategy
Tata Consumer’s business model is built around a simple but powerful idea: consolidate and scale branded food and beverage categories where the Tata name can command trust, then mine that trust across adjacent segments. The company straddles staples such as tea and salt, discretionary categories like premium coffee and beverages, and fast?growing packaged foods lines that target India’s rising middle class. Its distribution footprint now spans both urban modern trade and deep rural networks, augmented by digital channels that are steadily gaining relevance.
Over the coming months, several levers will determine whether the stock can sustain its upward trajectory. Integration of the Tata Coffee assets will be watched closely for evidence of cost savings, cross?selling and streamlined sourcing. Any stumble there could quickly dent the rich valuation. At the same time, the macro backdrop in India remains broadly supportive, with rising disposable incomes, gradual rural recovery and a structural shift away from loose, unbranded products toward packaged and branded alternatives. If Tata Consumer can continue to innovate in product formats, defend or expand its market share against global FMCG giants, and carefully manage input cost inflation, the earnings runway looks attractive.
For investors, the message in the current tape is that this is no longer an overlooked consumer name. The stock’s climb toward its 52?week high, the strong one?year return profile, and the recent burst of corporate action have pulled Tata Consumer firmly into the spotlight. Whether that spotlight ultimately exposes stretched expectations or chronicles the rise of a new FMCG heavyweight will depend on execution, but the market has clearly decided that this is a story worth paying attention to.
Hol dir jetzt den Wissensvorsprung der Aktien-Profis.
Für. Immer. Kostenlos.",rss,rss_007,1,[],0.55,True,0.9,"The article discusses a merger between major FMCG companies, Tata Consumer Products and Tata Coffee, which is a core FMCG M&A deal.",merger,Tata Consumer Products,Tata Coffee and associated entities,Undisclosed,completed,Beverages,"Tata Consumer Products' stock surged following the merger approval, reflecting strong market confidence.","The merger positions Tata Consumer Products as a stronger player in India's food and beverage market, capitalizing on the shift towards branded consumption.","Regulatory approval for a significant merger in the FMCG sector, enhancing Tata Consumer's market presence.","Tata Consumer Products has received final regulatory approval for its merger with Tata Coffee and associated entities, leading to a surge in its stock price. This merger is expected to strengthen Tata Consumer's position in the booming Indian food and beverage market, with the stock appreciating approximately 35-40% over the past year."
M&A in Consumer Products: Searching for the Parenting Advantage - Bain & Company,Bain & Company,bain.com,"Tue, 27 Ja",https://www.bain.com/insights/consumer-products-m-and-a-report-2026/,"M&A Report
At a Glance
- Traditional consumer products companies are remaking their portfolios to boost volume growth.
- 42% of the industry’s executives will prep an asset for sale over the next three years.
- Deals valued at less than $2 billion represent more than a third of all M&A as insurgent brand acquisitions continue to rise.
This article is part of Bain's 2026 M&A Report.
Throughout 2025, we witnessed an ongoing evolution in dealmaking in the consumer products industry. Many large, branded companies shed brand assets or acquired insurgent brands to reposition their portfolios while at the same time private label manufacturers and new market entrants continued to attract capital and gain share. Amid falling total shareholder returns, most large consumer products company executives know that sustained profitable growth is needed to break this cycle. (Please see our Consumer Products Report 2025: Reclaiming Relevance in the Gen AI Era.)
However, getting back to growth for legacy brands is easier said than done. Although overall global consumer spending continues to rise, the rules of the game have changed. It is no longer enough to build broad scale across brands, go-to-market capabilities, and supply and reinvest in emerging markets or growth categories. Instead, to get back to delivering value to consumers, category-specific growth models need to be revisited, continuous improvement needs to fund investment, and AI technology models need to be embraced.
Within this environment, the search for parenting advantage and the need to stay ahead of an ever-evolving landscape demands that executives look for ways to remake their portfolios. M&A is critical to enabling those bold portfolio moves. In 2025, we saw this come to life in two major themes:
- divestitures to radically simplify the portfolio and enable increased management focus, closeness to consumers, and faster ways of working; and
- insurgent acquisitions to buy the growth as well as future capabilities to kick-start growth models.
Divestitures represented almost 50% of total consumer products M&A through 2024, and that share is expected to continue to rise, with 42% of M&A executives in the industry prepping an asset for sale over the next three years, according to Bain’s recent survey. Kraft Heinz is splitting itself into two companies to better focus resources on the core brands that they both can grow. Keurig Dr Pepper is separating to become a North American refreshment beverage business and a global coffee company with its acquisition of JDE Peet’s. Additionally, Unilever, Reckitt, and General Mills have all announced or completed major divestments.
In parallel, we continue to see increased interest in insurgent brands—that is, brands growing at 10 times their respective categories with more than $25 million in revenue in tracked channels (see Figure 1).
Over the past five years, deals valued between $30 million and $500 million grew from 30% to 37% of global strategic deal value. Similarly, in the US (the market with the highest prevalence of insurgent brands), deals valued at less than $2 billion represented 38% of total consumer products deals, up from about 16% over the prior five years, according to our analysis. Meanwhile, average US deal size fell from roughly $900 million between 2014 and 2018 to about $400 million between 2019 and 2024. While 2025 saw a number of headline-grabbing global deals—such as Kimberly-Clark’s $51.4 billion purchase of Kenvue—smaller deals, such as PepsiCo’s acquisition of Poppi, Flowers Foods’ acquisition of Simple Mills, Unilever’s acquisitions of Dr. Squatch and Wild, and Ferrero’s acquisition of Power Crunch, continue to demonstrate incumbent consumer goods companies’ desire to enter new categories, new channels, or penetrate new consumer cohorts via insurgent brand M&A.
Successfully delivering on divestments and insurgent brands is different from scale acquisitions. Consumer products M&A teams need to develop new capabilities and repeatable models. We are privileged enough to have seen many up close. In our brief “Six Steps to Speed Insurgent Brand Growth Post-Acquisition,” we look at the best practices taken by companies such as L'Oréal and General Mills, which have turned insurgent acquisitions into billion-dollar brands. In “Five Steps for Successful Divestitures,” we describe how the best divestors use the occasion to strategically reset the base business and set the separated business up for success.",rss,rss_008,1,[],0.7,True,0.9,"The article discusses M&A activities specifically within the FMCG sector, highlighting acquisitions and divestitures among major companies.",divestiture,Kraft Heinz,its brand assets,Undisclosed,announced,Food & Beverage,Kraft Heinz is splitting into two companies to focus on core brands.,This move allows Kraft Heinz to better allocate resources and enhance growth potential for its core brands.,Significant restructuring of a major player in the FMCG sector.,"Kraft Heinz has announced its plan to split into two companies, aiming to streamline operations and focus on core brands for enhanced growth. This divestiture is part of a broader trend in the consumer products industry, where nearly 50% of M&A activity involves divestitures as companies seek to simplify their portfolios."
"We will not buy at any price, says ITC's Hemant Malik on acquisitions - Business Standard",Business Standard,business-standard.com,"Mon, 19 Ja",https://www.business-standard.com/companies/people/we-will-not-buy-at-any-price-says-itc-s-hemant-malik-on-acquisitions-126011900672_1.html,"We will not buy at any price, says ITC's Hemant Malik on acquisitions &nbsp;&nbsp; Business Standard",rss,rss_009,1,[],0.75,True,0.4,The article discusses ITC's stance on acquisitions but does not mention a specific deal.,other,,,Undisclosed,null,null,ITC's Hemant Malik emphasizes a disciplined approach to acquisitions.,This statement reflects ITC's strategic focus and risk management in M&A activities.,Standard sector transaction.,"Hemant Malik, ITC's executive, stated that the company will not pursue acquisitions at any price, highlighting a cautious approach to M&A in the FMCG sector."
"Commission backs Premier-RFG merger, protects jobs, boosts suppliers - Business Day",Business Day,businessday.co.za,"Thu, 29 Ja",https://www.businessday.co.za/companies/2026-01-29-commission-backs-premier-rfg-merger-protects-jobs-boosts-suppliers/,"The Competition Commission has recommended that the Competition Tribunal approve Premier’s proposed acquisition of RFG, subject to conditions aimed at protecting jobs and boosting supplier development.
The deal, announced in October, will see Premier acquire RFG through a share-swap transaction that will create one of South Africa’s largest food producers, with annual revenue of close to R30bn.
Once completed, the merger will bring Premier within striking distance of long-time FMCG market leader Tiger Brands.
While the Commission found that the transaction is unlikely to substantially lessen or prevent competition in any market, it attaches public-interest conditions to address employment and transformation concerns.
In a statement on Thursday, the commission confirmed that both companies have undertaken not to retrench any employees as a result of the merger for a period of three years from the implementation date.
Premier has also committed to increasing the merged group’s combined annual spend on enterprise and supplier development initiatives over the same three-year period.
“The Commission is of the view that the proposed transaction is unlikely to substantially lessen or prevent competition in any market,” said the commission.
Premier makes some of the country’s best‑known staples, from Blue Ribbon bread and Iwisa maize meal to Snowflake flour and Manhattan and Mister Sweet confectionery, supported by a network of bakeries, mills, plants and 28 depots across South Africa and neighbouring countries.
RFG, meanwhile, produces a wide range of convenience foods including Rhodes Quality juices, Bull Brand canned meats, Magpie desserts and Squish baby foods, operating facilities in South Africa and Eswatini and exporting to major markets such as the US, UK, Europe and the Middle East.
Under the transaction, Premier will issue 37.2-million shares at R154 each in a one-for-seven exchange, valuing RFG at nearly R5.8bn. RFG shareholders will receive a 22.5% stake in the enlarged Premier Group. The deal involves no cash outlay and will lead to RFG’s delisting from the JSE once finalised.
The offer represents a premium of about 35% to 37% and is expected to create a more formidable competitor in the FMCG sector, spanning staples, baked goods, ready meals, baby food and canned products.
The combined entity is forecast to generate between R28bn and R30bn in annual revenue, with profit after tax of about R1.7bn.
The Competition Tribunal will make the final decision on whether to approve the merger with the recommended conditions.",rss,rss_010,1,[],0.65,True,0.9,This is a core FMCG M&A deal involving a merger between two major food producers in South Africa.,acquisition,Premier,RFG,R5.8B,announced,Staples & Convenience Foods,Premier's acquisition of RFG will create one of South Africa's largest food producers.,"The merger is expected to enhance competition in the FMCG sector and protect jobs, with commitments to supplier development.","Regulatory approval with public-interest conditions attached, including job protection and supplier development.","The Competition Commission has recommended approval for Premier's acquisition of RFG, a deal valued at R5.8 billion through a share-swap transaction. This merger will create one of South Africa's largest food producers, generating annual revenues of R30 billion. The Commission's conditions include a three-year commitment from both companies not to retrench employees and to increase spending on supplier development."
